a,b,relationship,weight
APO,AME,pearson,790.5403522002647
APO,AMP,pearson,859.1136119988072
APO,AMZN,pearson,751.8641879786585
APO,ANSS,pearson,760.7298979719518
APO,APA,pearson,695.6222029459225
APO,APD,pearson,644.6140512528564
APO,APH,pearson,698.6733271802477
APTV,A,pearson,645.3173778166301
APTV,AAPL,pearson,646.4496562349092
APTV,ADI,pearson,691.9985095896614
APTV,AMD,pearson,611.7803451095833
APTV,AME,pearson,678.1941461261729
APTV,AMP,pearson,640.4751999596267
APTV,AMZN,pearson,624.8848012305757
APTV,ANSS,pearson,603.841654309215
APTV,APA,pearson,649.9251737999343
APTV,APO,pearson,602.9932920210783
ARE,ALLE,pearson,630.6203149941992
ARE,APTV,pearson,620.0760674358786
ATO,ACGL,pearson,658.9915981717724
ATO,ADP,pearson,661.2043225741118
ATO,AEE,pearson,839.791954338784
ATO,AEP,pearson,710.8930753136632
ATO,AFL,pearson,712.863912268259
ATO,AIG,pearson,673.7324383157909
ATO,ALL,pearson,733.7505871656849
ATO,AON,pearson,622.372630622031
AVB,A,pearson,635.9938393162557
AVB,AAPL,pearson,652.4333224253367
AVB,ABBV,pearson,626.3835465904995
AVB,ACGL,pearson,718.1850685351374
AVB,ACN,pearson,608.9440825564533
AVB,ADI,pearson,639.6818953590769
AVB,ADP,pearson,764.3545948989467
AVB,AEE,pearson,607.2025055700796
AVB,AFL,pearson,775.7735286954853
AVB,AIG,pearson,760.1835291787932
AVB,AIZ,pearson,769.2124997260179
AVB,AJG,pearson,629.0898586323542
AVB,ALL,pearson,706.5972673339502
AVB,ALLE,pearson,627.2637315056899
AVB,AMCR,pearson,612.8208516100777
AVB,AME,pearson,619.0453631287374
AVB,AMP,pearson,621.3619799857357
AVB,ANSS,pearson,645.3479375616545
AVB,AON,pearson,695.1503997191321
AVB,APD,pearson,708.6270520958551
AVB,APO,pearson,633.6510439744644
AVB,ARE,pearson,744.2684969148817
AVB,ATO,pearson,646.393481029912
AVGO,ALGN,pearson,618.3825690884769
AVGO,AMAT,pearson,767.6756910607141
AVGO,AMD,pearson,678.5040021168114
AVGO,AMZN,pearson,602.2330679028962
AVGO,ANET,pearson,786.9152276087387
AVGO,ANSS,pearson,654.9997484675662
AVGO,APH,pearson,791.4845871413523
AVGO,APO,pearson,620.5656140501769
AVY,ADP,pearson,609.413975403201
AVY,AIG,pearson,605.1905837809161
AVY,AMCR,pearson,694.7941414425648
AVY,AOS,pearson,723.0111211806915
AVY,ARE,pearson,601.0934381684099
AWK,AEP,pearson,788.5481461447339
AWK,AMT,pearson,719.7958554041478
AWK,ATO,pearson,627.1412046689128
AXP,A,pearson,695.3081265185261
AXP,AAPL,pearson,714.7992518643373
AXP,ABNB,pearson,642.9058604463171
AXP,ADI,pearson,762.9595803505725
AXP,ADP,pearson,615.905324756367
AXP,ADSK,pearson,754.4915661695067
AXP,ALGN,pearson,752.1943843600277
AXP,AMAT,pearson,676.3574221401167
AXP,AMD,pearson,728.6500530149477
AXP,AME,pearson,795.8302742657283
AXP,AMP,pearson,850.9576545766171
AXP,AMZN,pearson,800.5494155375742
AXP,ANSS,pearson,771.0117150852578
AXP,APA,pearson,704.7814918015964
AXP,APD,pearson,659.8080482233343
AXP,APH,pearson,677.3134093024305
AXP,APO,pearson,880.2332061138976
AXP,APTV,pearson,698.5524825869436
AXP,AVB,pearson,678.6270364330225
BA,A,pearson,614.8371480909589
BA,AAPL,pearson,616.5784808921941
BA,ADI,pearson,636.2246282989162
BA,ADSK,pearson,717.1691494429894
BA,ALGN,pearson,616.6572346579746
BA,AME,pearson,699.7082400426767
BA,AMP,pearson,739.2405072298035
BA,AMZN,pearson,681.1520837753994
BA,ANSS,pearson,669.1215246559
BA,APA,pearson,605.5377518151489
BA,APD,pearson,603.7539723631194
BA,APO,pearson,793.7395907208289
BA,AVB,pearson,634.4375891580021
BA,AXP,pearson,788.961245741279
BAC,AAPL,pearson,655.4746289179724
BAC,ADI,pearson,615.5223221451752
BAC,AME,pearson,691.8820029885609
BAC,AMP,pearson,812.7928221063322
BAC,AMZN,pearson,663.6442452740494
BAC,APA,pearson,669.4443561192483
BAC,APO,pearson,806.6760062895967
BAC,APTV,pearson,605.1451269464117
BAC,AVB,pearson,668.7931645498919
BAC,AXP,pearson,831.989900904535
BAC,BA,pearson,714.2102064947071
BALL,ADM,pearson,680.0574859676716
BALL,ALLE,pearson,625.6365720952014
BALL,AOS,pearson,633.4035960429253
BAX,ADI,pearson,600.0274924558618
BAX,AIG,pearson,626.4299125588005
BAX,AIZ,pearson,623.8827472490871
BAX,APTV,pearson,623.0759135869986
BAX,ARE,pearson,664.2701212770196
BAX,AVB,pearson,715.8260581510206
BBY,AAPL,pearson,642.8372368559569
BBY,ALLE,pearson,609.1428589319107
BBY,AME,pearson,650.8712870262596
BBY,AMP,pearson,672.4880527040555
BBY,APA,pearson,673.2796399791687
BBY,APO,pearson,615.6919048068845
BBY,APTV,pearson,628.6591829075245
BBY,AXP,pearson,699.5473111253704
BBY,BA,pearson,604.5455793950224
BBY,BAC,pearson,732.0993313461569
BDX,ABT,pearson,648.255462082381
BDX,AFL,pearson,700.8600561543823
BDX,AMGN,pearson,662.1237130381535
BDX,AVB,pearson,647.0050578645145
BDX,BAX,pearson,630.4323940096963
BEN,AAPL,pearson,664.3226120832144
BEN,ADI,pearson,614.5383839762728
BEN,AMZN,pearson,618.7855898926408
BEN,APTV,pearson,602.0538118153407
BEN,ARE,pearson,610.6082216070723
BEN,AVB,pearson,602.0345368937953
BEN,AXP,pearson,643.2162970983904
BF-B,ALLE,pearson,617.4106970402012
BG,ADM,pearson,801.5767932973974
BG,ALB,pearson,617.8974006662831
BIIB,ADM,pearson,628.4445166504769
BIIB,AMGN,pearson,721.9819781164051
BIIB,BAX,pearson,627.408041435823
BK,A,pearson,605.0702613123073
BK,AAPL,pearson,705.6419723892302
BK,ADI,pearson,673.7968254531834
BK,ADP,pearson,730.1984160723832
BK,ADSK,pearson,621.601695550333
BK,AFL,pearson,644.3044689391298
BK,AIG,pearson,660.0083217829429
BK,AIZ,pearson,673.3675898523686
BK,ALB,pearson,624.8014691840974
BK,AMD,pearson,601.2085258272763
BK,AME,pearson,672.4724824201137
BK,AMP,pearson,799.6728834581972
BK,AMZN,pearson,637.6134944542614
BK,ANSS,pearson,703.7360512990268
BK,APA,pearson,620.194402785364
BK,APD,pearson,640.2908962773097
BK,APO,pearson,760.30771803358
BK,ARE,pearson,613.79889040482
BK,AVB,pearson,720.6760515945948
BK,AXP,pearson,832.8467670585233
BK,BA,pearson,656.0512123936347
BK,BAC,pearson,810.2615684846579
BK,BBY,pearson,605.5105914560463
BKNG,AAPL,pearson,699.0604135546947
BKNG,ABNB,pearson,665.9226751710058
BKNG,ADI,pearson,675.6501017941838
BKNG,ADP,pearson,606.8043932341619
BKNG,ADSK,pearson,601.8287576872416
BKNG,ALGN,pearson,608.5498957934137
BKNG,AMD,pearson,681.7168551194451
BKNG,AME,pearson,655.6838972378653
BKNG,AMP,pearson,665.0288826095276
BKNG,AMZN,pearson,601.2777202838848
BKNG,ANSS,pearson,622.595784950553
BKNG,APA,pearson,607.0166548622495
BKNG,APO,pearson,699.3953117855158
BKNG,AXP,pearson,744.9606896584376
BKNG,BA,pearson,659.0797600593294
BKNG,BAC,pearson,607.5865468472829
BKNG,BK,pearson,636.2499350362327
BKR,A,pearson,622.3079409767912
BKR,ADI,pearson,645.973894814726
BKR,ADP,pearson,642.1626860643141
BKR,ADSK,pearson,647.0894976233624
BKR,AFL,pearson,614.3333868740765
BKR,AMAT,pearson,649.10915859686
BKR,AMD,pearson,696.649363831236
BKR,AME,pearson,703.8999131388297
BKR,AMP,pearson,646.8655479945419
BKR,AMZN,pearson,635.8666725033881
BKR,ANSS,pearson,759.1298968834369
BKR,APA,pearson,711.3975921276492
BKR,APD,pearson,712.2478552018192
BKR,APH,pearson,600.4653625365652
BKR,APO,pearson,781.8028481753015
BKR,AVB,pearson,688.1194472514237
BKR,AVGO,pearson,647.5372922321302
BKR,AXP,pearson,736.3509310342912
BKR,BA,pearson,668.8196806130723
BKR,BAC,pearson,698.3076660049427
BKR,BK,pearson,678.4771554028652
BLDR,ALGN,pearson,665.8531384163811
BLDR,ALLE,pearson,685.8064110679745
BLDR,AXP,pearson,609.745893968345
BLDR,BBY,pearson,630.349195099744
BLK,A,pearson,701.7625065142144
BLK,AAPL,pearson,785.2438882792202
BLK,ADI,pearson,741.9132622234396
BLK,ADSK,pearson,704.7017606466942
BLK,AFL,pearson,600.0202030065408
BLK,AIZ,pearson,623.3189787515387
BLK,ALB,pearson,638.6614274610798
BLK,ALGN,pearson,617.9119485658965
BLK,AMAT,pearson,605.9517904758602
BLK,AMD,pearson,681.7073323300141
BLK,AME,pearson,714.5550237660456
BLK,AMP,pearson,745.8322543838859
BLK,AMZN,pearson,736.1175866803086
BLK,ANSS,pearson,761.8698004449773
BLK,APA,pearson,703.746263415345
BLK,APD,pearson,655.123098027993
BLK,APO,pearson,788.6025791202004
BLK,APTV,pearson,618.4220194587723
BLK,AVB,pearson,698.5124607724459
BLK,AXP,pearson,798.8203096057015
BLK,BA,pearson,648.8974961393333
BLK,BAC,pearson,751.9103149796344
BLK,BBY,pearson,634.5775539588029
BLK,BEN,pearson,742.4878823075491
BLK,BK,pearson,795.6730689481393
BLK,BKNG,pearson,638.0426435668802
BLK,BKR,pearson,686.3234944872027
BMY,ABBV,pearson,638.9153464684243
BMY,AMGN,pearson,666.581864834845
BMY,BAX,pearson,602.7074691933088
BR,A,pearson,624.6393355473922
BR,AAPL,pearson,682.375326883561
BR,ABT,pearson,600.8206634362575
BR,ACGL,pearson,699.7479994148617
BR,ACN,pearson,619.6436716151537
BR,ADI,pearson,640.485451261277
BR,ADP,pearson,861.539014175609
BR,ADSK,pearson,674.7531557143086
BR,AFL,pearson,753.3382085093729
BR,AIG,pearson,738.1246854211515
BR,AIZ,pearson,736.287796514149
BR,ALL,pearson,649.281323908485
BR,ALLE,pearson,614.6603598576851
BR,AMCR,pearson,607.0891750885352
BR,AMD,pearson,609.4855742831262
BR,AME,pearson,693.75439025182
BR,AMP,pearson,666.018863871234
BR,ANSS,pearson,676.4131448713256
BR,AON,pearson,701.9702161562078
BR,APD,pearson,757.0361376651633
BR,APO,pearson,632.3312697648128
BR,AVB,pearson,814.529980536702
BR,AXP,pearson,717.456705282039
BR,BA,pearson,632.0629522554196
BR,BAC,pearson,637.8306559768549
BR,BK,pearson,744.0012203464992
BR,BKNG,pearson,655.0548600373596
BR,BKR,pearson,700.4246162493241
BR,BLK,pearson,669.5123994839173
BRK-B,ACGL,pearson,848.1322414445681
BRK-B,ADP,pearson,742.649855235184
BRK-B,AEE,pearson,628.3497040022478
BRK-B,AES,pearson,601.1856595530334
BRK-B,AFL,pearson,841.438737148981
BRK-B,AIG,pearson,869.3469211722565
BRK-B,AIZ,pearson,800.48061757107
BRK-B,AJG,pearson,694.2762336801233
BRK-B,ALB,pearson,604.9544449741104
BRK-B,ALL,pearson,819.2641223591494
BRK-B,AMP,pearson,674.3365608945834
BRK-B,ANSS,pearson,636.0627989141996
BRK-B,AON,pearson,688.2029014670737
BRK-B,APD,pearson,627.5707335593687
BRK-B,APO,pearson,600.6876738238605
BRK-B,ARE,pearson,610.7756662467806
BRK-B,ATO,pearson,643.5307072319545
BRK-B,AVB,pearson,780.6690641579482
BRK-B,AXP,pearson,607.102025011549
BRK-B,BA,pearson,625.6481932328734
BRK-B,BAC,pearson,660.7467805498154
BRK-B,BK,pearson,758.2063812966297
BRK-B,BLK,pearson,654.299007280865
BRK-B,BR,pearson,717.2210774184613
BRO,ABT,pearson,609.5733267479491
BRO,ACGL,pearson,840.3127258684194
BRO,ADP,pearson,783.7770688163133
BRO,AEE,pearson,718.9959724032427
BRO,AEP,pearson,605.7297258292117
BRO,AFL,pearson,800.5394864988166
BRO,AIG,pearson,769.781575318413
BRO,AIZ,pearson,706.9033380622121
BRO,AJG,pearson,785.2777646986978
BRO,ALL,pearson,785.1807213884149
BRO,AON,pearson,784.8558252706318
BRO,ATO,pearson,723.1242011620224
BRO,AVB,pearson,736.4324905793981
BRO,AZO,pearson,621.7524192315796
BRO,BR,pearson,750.2903660469577
BRO,BRK-B,pearson,766.9028729913547
BSX,A,pearson,630.2425586575557
BSX,ADI,pearson,654.5419802387131
BSX,ADP,pearson,679.1494289591377
BSX,ADSK,pearson,643.7707307531693
BSX,AFL,pearson,614.896040492969
BSX,AIG,pearson,616.6793863808768
BSX,AMD,pearson,631.1263240558114
BSX,AME,pearson,657.8098441142108
BSX,AMP,pearson,720.7460195143595
BSX,ANSS,pearson,716.0495566159914
BSX,APO,pearson,744.8419082449284
BSX,AVB,pearson,672.7168248767362
BSX,AXP,pearson,698.7324390146636
BSX,BA,pearson,657.4371704585475
BSX,BAC,pearson,679.0341988676367
BSX,BK,pearson,723.0631653151863
BSX,BKNG,pearson,616.8947528175426
BSX,BKR,pearson,730.3797865005187
BSX,BLK,pearson,642.7083488474241
BSX,BR,pearson,751.7125892448378
BSX,BRK-B,pearson,644.9804048691468
BX,A,pearson,649.8831191422463
BX,AAPL,pearson,656.665987817202
BX,ABNB,pearson,642.8161717742428
BX,ADI,pearson,717.751575981164
BX,ADSK,pearson,746.0209784601315
BX,ALGN,pearson,748.0644363141166
BX,AMD,pearson,690.567837374175
BX,AME,pearson,733.9041410673726
BX,AMP,pearson,883.2305240251983
BX,AMZN,pearson,774.8591659607678
BX,ANSS,pearson,724.7739678357927
BX,APA,pearson,674.9649506915113
BX,APD,pearson,641.8654355217393
BX,APH,pearson,632.4773006065356
BX,APO,pearson,887.0198501747255
BX,APTV,pearson,631.3762994716545
BX,AVB,pearson,601.7085809565338
BX,AXP,pearson,875.4406561092914
BX,BA,pearson,674.8640380483446
BX,BAC,pearson,760.1098726849816
BX,BBY,pearson,667.2224961066648
BX,BEN,pearson,636.9042163769825
BX,BK,pearson,747.6250982846394
BX,BKNG,pearson,706.4598774504586
BX,BKR,pearson,682.4842261267272
BX,BLK,pearson,768.1597229126238
BX,BR,pearson,629.9596038359776
BX,BSX,pearson,667.8702286567008
BXP,A,pearson,643.1099137272246
BXP,ALLE,pearson,650.1143947635026
BXP,AMCR,pearson,601.8418416674265
BXP,APD,pearson,612.8830183224792
BXP,ARE,pearson,721.5264814831825
BXP,AVB,pearson,729.2740826331328
BXP,AXP,pearson,669.4099916542694
BXP,BAC,pearson,602.8971349441083
BXP,BBY,pearson,622.484494358149
BXP,BEN,pearson,657.908657750842
BXP,BK,pearson,667.9051123618128
BXP,BLDR,pearson,641.5743169152654
BXP,BLK,pearson,675.7318556930286
BXP,BR,pearson,634.8567872808025
C,A,pearson,608.6926602428922
C,AAPL,pearson,618.2409765238033
C,ABNB,pearson,620.6429046706219
C,ADI,pearson,659.2405025060916
C,ADSK,pearson,636.8830317490075
C,ALGN,pearson,689.437668313352
C,AMD,pearson,605.4500511516245
C,AME,pearson,773.4354585623837
C,AMP,pearson,812.9510307898692
C,AMZN,pearson,717.5778865484344
C,ANSS,pearson,663.7438971092612
C,APA,pearson,638.3604654806072
C,APO,pearson,876.2468710009753
C,APTV,pearson,659.5088274656597
C,AVB,pearson,602.2927559897892
C,AXP,pearson,882.9856544507264
C,BA,pearson,757.4144975446708
C,BAC,pearson,882.3086534279264
C,BBY,pearson,695.4870536219877
C,BK,pearson,829.2814170878023
C,BKNG,pearson,641.8180546890904
C,BKR,pearson,668.5500564415078
C,BLK,pearson,765.3476450904698
C,BR,pearson,603.5614889186531
C,BSX,pearson,640.3394877643135
C,BX,pearson,804.9867596994374
C,BXP,pearson,626.4952037795451
CAG,ADM,pearson,621.4997110904629
CAH,ACGL,pearson,703.5426009270492
CAH,ADP,pearson,723.9736395888426
CAH,AFL,pearson,707.3541075853611
CAH,AIG,pearson,750.4896416423281
CAH,AIZ,pearson,651.8002487456821
CAH,AJG,pearson,667.1479647469631
CAH,ALL,pearson,648.8822088265679
CAH,AON,pearson,719.3542928561095
CAH,AVB,pearson,644.9358474693577
CAH,BR,pearson,730.6313023217476
CAH,BRK-B,pearson,714.2581563184849
CAH,BRO,pearson,708.4860250420753
CAH,BSX,pearson,645.4192961023371
CARR,A,pearson,737.5899708971896
CARR,ADI,pearson,670.026393383506
CARR,ADSK,pearson,615.2960920332453
CARR,ALGN,pearson,643.3574937921334
CARR,AMAT,pearson,644.5022138165509
CARR,AMD,pearson,665.2730256655022
CARR,AME,pearson,724.2841235626299
CARR,AMP,pearson,644.7228856237093
CARR,AMZN,pearson,643.0628258289207
CARR,ANSS,pearson,725.1573443986671
CARR,APA,pearson,716.8534675455938
CARR,APD,pearson,647.399333411349
CARR,APH,pearson,636.9769567246709
CARR,APO,pearson,689.0233326057928
CARR,APTV,pearson,691.6591721513388
CARR,ARE,pearson,608.8561234405968
CARR,AVB,pearson,613.1864114994271
CARR,AVGO,pearson,607.431010125754
CARR,AXP,pearson,689.0274220785026
CARR,BBY,pearson,671.9222112967236
CARR,BEN,pearson,639.0775779737547
CARR,BK,pearson,642.3562307343465
CARR,BKR,pearson,673.0410914413094
CARR,BLK,pearson,691.3298447264348
CARR,BX,pearson,721.1074063267926
CARR,BXP,pearson,694.7905544147234
CARR,C,pearson,624.6780949368683
CAT,A,pearson,636.1068124572677
CAT,AAPL,pearson,602.8980952015886
CAT,ADI,pearson,637.430153369048
CAT,ALB,pearson,611.7646239168578
CAT,ALGN,pearson,689.6408153115934
CAT,AMAT,pearson,603.435544148103
CAT,AMD,pearson,659.3532828858864
CAT,AME,pearson,734.0692450954624
CAT,AMP,pearson,795.4956203575763
CAT,AMZN,pearson,710.3352848369105
CAT,ANSS,pearson,710.0265559437322
CAT,AOS,pearson,665.9026076459728
CAT,APA,pearson,674.4809803339873
CAT,APD,pearson,649.3533716870028
CAT,APH,pearson,610.5103967325983
CAT,APO,pearson,720.5662169611336
CAT,APTV,pearson,706.2907931175866
CAT,ARE,pearson,627.48686461273
CAT,AVY,pearson,623.3260932205952
CAT,AXP,pearson,730.0626039308293
CAT,BAC,pearson,636.5666424491762
CAT,BBY,pearson,623.2619032852907
CAT,BEN,pearson,637.4149209560169
CAT,BK,pearson,655.3626932424946
CAT,BLK,pearson,687.9972217736431
CAT,BX,pearson,795.6344553607651
CAT,C,pearson,696.665810244717
CAT,CARR,pearson,764.8452778080253
CB,ACGL,pearson,852.7905217187296
CB,ADM,pearson,620.2778723443987
CB,ADP,pearson,666.2481153461588
CB,AEE,pearson,659.9853567870189
CB,AEP,pearson,605.5197336847483
CB,AFL,pearson,800.9561170708096
CB,AIG,pearson,830.6231216646121
CB,AIZ,pearson,787.6006057919716
CB,AJG,pearson,666.271330452138
CB,ALL,pearson,835.1660290791992
CB,AON,pearson,653.7897067615513
CB,ATO,pearson,709.4820372341114
CB,AVB,pearson,645.7335923188585
CB,BRK-B,pearson,801.3515333065557
CB,BRO,pearson,793.7113333691394
CB,CAH,pearson,644.6256989620024
CBOE,AEP,pearson,612.7382583255436
CBRE,A,pearson,640.2266458319646
CBRE,ACN,pearson,619.2779346971444
CBRE,ADBE,pearson,624.7373052193237
CBRE,ADI,pearson,635.1344235357143
CBRE,ADSK,pearson,721.5094917119972
CBRE,ALGN,pearson,671.6795435812274
CBRE,AME,pearson,676.975090166963
CBRE,AMP,pearson,671.148010384784
CBRE,AMZN,pearson,710.6876461188812
CBRE,ANSS,pearson,611.0681418773104
CBRE,APD,pearson,600.1902964816211
CBRE,APO,pearson,786.043104958037
CBRE,AVB,pearson,703.0015660297655
CBRE,AXP,pearson,793.4612031477767
CBRE,BA,pearson,641.9108926779602
CBRE,BAC,pearson,673.1519117438822
CBRE,BK,pearson,715.1216902561158
CBRE,BKNG,pearson,633.5938269420396
CBRE,BKR,pearson,646.7126591421454
CBRE,BLDR,pearson,640.4615098991242
CBRE,BLK,pearson,720.6368718700717
CBRE,BR,pearson,635.2295350662382
CBRE,BSX,pearson,698.0355115389369
CBRE,BX,pearson,777.0838667420908
CBRE,BXP,pearson,666.3886960186965
CBRE,C,pearson,749.608862925233
CBRE,CARR,pearson,601.099200800198
CCI,AEP,pearson,622.7375294871183
CCI,AMT,pearson,755.0899011643698
CCI,ATO,pearson,600.6399596516958
CCI,AWK,pearson,624.4211331054654
CCL,A,pearson,605.4768059230381
CCL,AAPL,pearson,651.2979289794213
CCL,ABNB,pearson,631.5253653589283
CCL,ADI,pearson,644.0686000005513
CCL,ADSK,pearson,772.8972633903833
CCL,ALGN,pearson,680.9126985505974
CCL,AMD,pearson,607.1191025056168
CCL,AME,pearson,639.3535694791467
CCL,AMP,pearson,758.9961746504525
CCL,AMZN,pearson,721.9903869181275
CCL,ANSS,pearson,641.3717912335912
CCL,APD,pearson,604.064989308274
CCL,APO,pearson,789.9770385171029
CCL,AXP,pearson,811.8047643857292
CCL,BA,pearson,749.5385876389502
CCL,BAC,pearson,702.0276181052637
CCL,BK,pearson,639.8662362228193
CCL,BKNG,pearson,724.4983180650108
CCL,BLK,pearson,730.3196150463029
CCL,BX,pearson,803.0037001711199
CCL,C,pearson,751.5135633473852
CCL,CBRE,pearson,741.2070813124839
CDNS,ADSK,pearson,650.7613256723522
CDNS,ALGN,pearson,649.4831265210009
CDNS,AMAT,pearson,679.1032075158982
CDNS,AMD,pearson,697.3873537119989
CDNS,AMZN,pearson,649.4748169740028
CDNS,ANET,pearson,806.4237904702944
CDNS,ANSS,pearson,803.6354701449641
CDNS,APH,pearson,771.9154738009114
CDNS,APO,pearson,690.1046475636241
CDNS,AVGO,pearson,753.1910398309719
CDNS,AXON,pearson,667.1008023812088
CDNS,AXP,pearson,713.411923528811
CDNS,BKR,pearson,666.8672467141682
CDNS,BX,pearson,664.8431071742335
CDNS,CARR,pearson,680.6901039596439
CDNS,CAT,pearson,606.9556187681272
CDW,A,pearson,670.9501025714612
CDW,ACN,pearson,727.4783231464577
CDW,ADI,pearson,754.0863930533186
CDW,ADSK,pearson,663.639927521729
CDW,AMAT,pearson,629.0744199293782
CDW,AMD,pearson,639.0200759336634
