ticker,name,sector,industry
DHI,"D.R. Horton, Inc.",Consumer Cyclical,Residential Construction
DTE,DTE Energy Company,Utilities,Utilities - Regulated Electric
DUK,Duke Energy Corporation (Holdin,Utilities,Utilities - Regulated Electric
DD,"DuPont de Nemours, Inc.",Basic Materials,Specialty Chemicals
EMN,Eastman Chemical Company,Basic Materials,Specialty Chemicals
ETN,"Eaton Corporation, PLC",Industrials,Specialty Industrial Machinery
EBAY,eBay Inc.,Consumer Cyclical,Internet Retail
ECL,Ecolab Inc.,Basic Materials,Specialty Chemicals
EIX,Edison International,Utilities,Utilities - Regulated Electric
EW,Edwards Lifesciences Corporatio,Healthcare,Medical Devices
EA,Electronic Arts Inc.,Communication Services,Electronic Gaming & Multimedia
ELV,"Elevance Health, Inc.",Healthcare,Healthcare Plans
EMR,Emerson Electric Company,Industrials,Specialty Industrial Machinery
ENPH,"Enphase Energy, Inc.",Technology,Solar
ETR,Entergy Corporation,Utilities,Utilities - Regulated Electric
EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P
EPAM,"EPAM Systems, Inc.",Technology,Information Technology Services
EQT,EQT Corporation,Energy,Oil & Gas E&P
EFX,"Equifax, Inc.",Industrials,Consulting Services
EQIX,"Equinix, Inc.",Real Estate,REIT - Specialty
EQR,Equity Residential,Real Estate,REIT - Residential
ERIE,Erie Indemnity Company,Financial Services,Insurance Brokers
ESS,"Essex Property Trust, Inc.",Real Estate,REIT - Residential
EL,"Estee Lauder Companies, Inc. (T",Consumer Defensive,Household & Personal Products
EG,"Everest Group, Ltd.",Financial Services,Insurance - Reinsurance
EVRG,"Evergy, Inc.",Utilities,Utilities - Regulated Electric
ES,Eversource Energy (D/B/A),Utilities,Utilities - Regulated Electric
EXC,Exelon Corporation,Utilities,Utilities - Regulated Electric
EXPE,"Expedia Group, Inc.",Consumer Cyclical,Travel Services
EXPD,Expeditors International of Was,Industrials,Integrated Freight & Logistics
EXR,Extra Space Storage Inc,Real Estate,REIT - Industrial
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated
FFIV,"F5, Inc.",Technology,Software - Infrastructure
FDS,FactSet Research Systems Inc.,Financial Services,Financial Data & Stock Exchanges
FICO,Fair Isaac Corporation,Technology,Software - Application
FAST,Fastenal Company,Industrials,Industrial Distribution
FRT,Federal Realty Investment Trust,Real Estate,REIT - Retail
FDX,FedEx Corporation,Industrials,Integrated Freight & Logistics
FIS,Fidelity National Information S,Technology,Information Technology Services
FITB,Fifth Third Bancorp,Financial Services,Banks - Regional
FSLR,"First Solar, Inc.",Technology,Solar
FE,FirstEnergy Corp.,Utilities,Utilities - Regulated Electric
FI,"Fiserv, Inc.",Technology,Information Technology Services
FMC,FMC Corporation,Basic Materials,Agricultural Inputs
F,Ford Motor Company,Consumer Cyclical,Auto Manufacturers
FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure
FTV,Fortive Corporation,Technology,Scientific & Technical Instruments
FOXA,Fox Corporation,Communication Services,Entertainment
FOX,Fox Corporation,Communication Services,Entertainment
BEN,"Franklin Resources, Inc.",Financial Services,Asset Management
FCX,"Freeport-McMoRan, Inc.",Basic Materials,Copper
GRMN,Garmin Ltd.,Technology,Scientific & Technical Instruments
IT,"Gartner, Inc.",Technology,Information Technology Services
GE,GE Aerospace,Industrials,Aerospace & Defense
GEHC,GE HealthCare Technologies Inc.,Healthcare,Health Information Services
GEV,GE Vernova Inc.,Utilities,Utilities - Renewable
GEN,Gen Digital Inc.,Technology,Software - Infrastructure
GNRC,Generac Holdlings Inc.,Industrials,Specialty Industrial Machinery
GD,General Dynamics Corporation,Industrials,Aerospace & Defense
GIS,"General Mills, Inc.",Consumer Defensive,Packaged Foods
GM,General Motors Company,Consumer Cyclical,Auto Manufacturers
GPC,Genuine Parts Company,Consumer Cyclical,Auto Parts
GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General
GPN,Global Payments Inc.,Industrials,Specialty Business Services
GL,Globe Life Inc.,Financial Services,Insurance - Life
GDDY,GoDaddy Inc.,Technology,Software - Infrastructure
GS,"Goldman Sachs Group, Inc. (The)",Financial Services,Capital Markets
HAL,Halliburton Company,Energy,Oil & Gas Equipment & Services
HIG,"The Hartford Insurance Group, I",Financial Services,Insurance - Property & Casualty
HAS,"Hasbro, Inc.",Consumer Cyclical,Leisure
HCA,"HCA Healthcare, Inc.",Healthcare,Medical Care Facilities
DOC,"Healthpeak Properties, Inc.",Real Estate,REIT - Healthcare Facilities
HSIC,"Henry Schein, Inc.",Healthcare,Medical Distribution
HSY,The Hershey Company,Consumer Defensive,Confectioners
HES,Hess Corporation,Energy,Oil & Gas E&P
HPE,Hewlett Packard Enterprise Comp,Technology,Communication Equipment
HLT,Hilton Worldwide Holdings Inc.,Consumer Cyclical,Lodging
HOLX,"Hologic, Inc.",Healthcare,Medical Instruments & Supplies
HD,"Home Depot, Inc. (The)",Consumer Cyclical,Home Improvement Retail
HON,Honeywell International Inc.,Industrials,Conglomerates
HRL,Hormel Foods Corporation,Consumer Defensive,Packaged Foods
HST,"Host Hotels & Resorts, Inc.",Real Estate,REIT - Hotel & Motel
HWM,Howmet Aerospace Inc.,Industrials,Aerospace & Defense
HPQ,HP Inc.,Technology,Computer Hardware
HUBB,Hubbell Inc,Industrials,Electrical Equipment & Parts
HUM,Humana Inc.,Healthcare,Healthcare Plans
HBAN,Huntington Bancshares Incorpora,Financial Services,Banks - Regional
HII,"Huntington Ingalls Industries, ",Industrials,Aerospace & Defense
IBM,International Business Machines,Technology,Information Technology Services
IEX,IDEX Corporation,Industrials,Specialty Industrial Machinery
IDXX,"IDEXX Laboratories, Inc.",Healthcare,Diagnostics & Research
ITW,Illinois Tool Works Inc.,Industrials,Specialty Industrial Machinery
INCY,Incyte Corporation,Healthcare,Biotechnology
IR,Ingersoll Rand Inc.,Industrials,Specialty Industrial Machinery
PODD,Insulet Corporation,Healthcare,Medical Devices
INTC,Intel Corporation,Technology,Semiconductors
ICE,Intercontinental Exchange Inc.,Financial Services,Financial Data & Stock Exchanges
IFF,International Flavors & Fragran,Basic Materials,Specialty Chemicals
IP,International Paper Company,Consumer Cyclical,Packaging & Containers
IPG,"Interpublic Group of Companies,",Communication Services,Advertising Agencies
INTU,Intuit Inc.,Technology,Software - Application
ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical Instruments & Supplies
IVZ,Invesco Ltd,Financial Services,Asset Management
INVH,Invitation Homes Inc.,Real Estate,REIT - Residential
IQV,"IQVIA Holdings, Inc.",Healthcare,Diagnostics & Research
IRM,Iron Mountain Incorporated (Del,Real Estate,REIT - Specialty
JBHT,"J.B. Hunt Transport Services, I",Industrials,Integrated Freight & Logistics
JBL,Jabil Inc.,Technology,Electronic Components
JKHY,"Jack Henry & Associates, Inc.",Technology,Information Technology Services
J,Jacobs Solutions Inc.,Industrials,Engineering & Construction
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General
JCI,Johnson Controls International ,Industrials,Building Products & Equipment
JPM,JP Morgan Chase & Co.,Financial Services,Banks - Diversified
JNPR,"Juniper Networks, Inc.",Technology,Communication Equipment
K,Kellanova,Consumer Defensive,Packaged Foods
KVUE,Kenvue Inc.,Consumer Defensive,Household & Personal Products
KDP,Keurig Dr Pepper Inc.,Consumer Defensive,Beverages - Non-Alcoholic
KEY,KeyCorp,Financial Services,Banks - Regional
KEYS,Keysight Technologies Inc.,Technology,Scientific & Technical Instruments
KMB,Kimberly-Clark Corporation,Consumer Defensive,Household & Personal Products
KIM,Kimco Realty Corporation (HC),Real Estate,REIT - Retail
KMI,"Kinder Morgan, Inc.",Energy,Oil & Gas Midstream
KKR,KKR & Co. Inc.,Financial Services,Asset Management
KLAC,KLA Corporation,Technology,Semiconductor Equipment & Materials
KHC,The Kraft Heinz Company,Consumer Defensive,Packaged Foods
KR,Kroger Company (The),Consumer Defensive,Grocery Stores
LHX,"L3Harris Technologies, Inc.",Industrials,Aerospace & Defense
LH,Labcorp Holdings Inc.,Healthcare,Diagnostics & Research
LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials
LW,"Lamb Weston Holdings, Inc.",Consumer Defensive,Packaged Foods
LVS,Las Vegas Sands Corp.,Consumer Cyclical,Resorts & Casinos
LDOS,"Leidos Holdings, Inc.",Technology,Information Technology Services
LEN,Lennar Corporation,Consumer Cyclical,Residential Construction
LII,"Lennox International, Inc.",Industrials,Building Products & Equipment
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General
LIN,Linde plc,Basic Materials,Specialty Chemicals
LYV,"Live Nation Entertainment, Inc.",Communication Services,Entertainment
LKQ,LKQ Corporation,Consumer Cyclical,Auto Parts
LMT,Lockheed Martin Corporation,Industrials,Aerospace & Defense
L,Loews Corporation,Financial Services,Insurance - Property & Casualty
LOW,"Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement Retail
LULU,lululemon athletica inc.,Consumer Cyclical,Apparel Retail
LYB,LyondellBasell Industries NV,Basic Materials,Specialty Chemicals
MTB,M&T Bank Corporation,Financial Services,Banks - Regional
MPC,Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing
MKTX,"MarketAxess Holdings, Inc.",Financial Services,Capital Markets
MAR,Marriott International,Consumer Cyclical,Lodging
MMC,"Marsh & McLennan Companies, Inc",Financial Services,Insurance Brokers
MLM,"Martin Marietta Materials, Inc.",Basic Materials,Building Materials
MAS,Masco Corporation,Industrials,Building Products & Equipment
MA,Mastercard Incorporated,Financial Services,Credit Services
MTCH,"Match Group, Inc.",Communication Services,Internet Content & Information
MKC,"McCormick & Company, Incorporat",Consumer Defensive,Packaged Foods
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants
MCK,McKesson Corporation,Healthcare,Medical Distribution
MDT,Medtronic plc.,Healthcare,Medical Devices
MRK,"Merck & Company, Inc.",Healthcare,Drug Manufacturers - General
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information
MET,"MetLife, Inc.",Financial Services,Insurance - Life
MTD,"Mettler-Toledo International, I",Healthcare,Diagnostics & Research
MGM,MGM Resorts International,Consumer Cyclical,Resorts & Casinos
MCHP,Microchip Technology Incorporat,Technology,Semiconductors
MU,"Micron Technology, Inc.",Technology,Semiconductors
MSFT,Microsoft Corporation,Technology,Software - Infrastructure
MAA,Mid-America Apartment Communiti,Real Estate,REIT - Residential
MRNA,"Moderna, Inc.",Healthcare,Biotechnology
MHK,"Mohawk Industries, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances"
MOH,Molina Healthcare Inc,Healthcare,Healthcare Plans
TAP,Molson Coors Beverage Company,Consumer Defensive,Beverages - Brewers
MDLZ,"Mondelez International, Inc.",Consumer Defensive,Confectioners
MPWR,"Monolithic Power Systems, Inc.",Technology,Semiconductors
MNST,Monster Beverage Corporation,Consumer Defensive,Beverages - Non-Alcoholic
MCO,Moody's Corporation,Financial Services,Financial Data & Stock Exchanges
MS,Morgan Stanley,Financial Services,Capital Markets
MOS,Mosaic Company (The),Basic Materials,Agricultural Inputs
MSI,"Motorola Solutions, Inc.",Technology,Communication Equipment
MSCI,MSCI Inc.,Financial Services,Financial Data & Stock Exchanges
NDAQ,"Nasdaq, Inc.",Financial Services,Financial Data & Stock Exchanges
NTAP,"NetApp, Inc.",Technology,Computer Hardware
NFLX,"Netflix, Inc.",Communication Services,Entertainment
NEM,Newmont Corporation,Basic Materials,Gold
NWSA,News Corporation,Communication Services,Entertainment
NWS,News Corporation,Communication Services,Entertainment
NEE,"NextEra Energy, Inc.",Utilities,Utilities - Regulated Electric
NKE,"Nike, Inc.",Consumer Cyclical,Footwear & Accessories
NI,NiSource Inc,Utilities,Utilities - Regulated Gas
NDSN,Nordson Corporation,Industrials,Specialty Industrial Machinery
NSC,Norfolk Southern Corporation,Industrials,Railroads
NTRS,Northern Trust Corporation,Financial Services,Asset Management
NOC,Northrop Grumman Corporation,Industrials,Aerospace & Defense
NCLH,Norwegian Cruise Line Holdings ,Consumer Cyclical,Travel Services
NRG,"NRG Energy, Inc.",Utilities,Utilities - Independent Power Producers
NUE,Nucor Corporation,Basic Materials,Steel
NVDA,NVIDIA Corporation,Technology,Semiconductors
NVR,"NVR, Inc.",Consumer Cyclical,Residential Construction
NXPI,NXP Semiconductors N.V.,Technology,Semiconductors
ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical,Specialty Retail
OXY,Occidental Petroleum Corporatio,Energy,Oil & Gas E&P
ODFL,"Old Dominion Freight Line, Inc.",Industrials,Trucking
OMC,Omnicom Group Inc.,Communication Services,Advertising Agencies
ON,ON Semiconductor Corporation,Technology,Semiconductors
OKE,"ONEOK, Inc.",Energy,Oil & Gas Midstream
ORCL,Oracle Corporation,Technology,Software - Infrastructure
OTIS,Otis Worldwide Corporation,Industrials,Specialty Industrial Machinery
PCAR,PACCAR Inc.,Industrials,Farm & Heavy Construction Machinery
PKG,Packaging Corporation of Americ,Consumer Cyclical,Packaging & Containers
PLTR,Palantir Technologies Inc.,Technology,Software - Infrastructure
PANW,"Palo Alto Networks, Inc.",Technology,Software - Infrastructure
PARA,Paramount Global,Communication Services,Entertainment
PH,Parker-Hannifin Corporation,Industrials,Specialty Industrial Machinery
PAYX,"Paychex, Inc.",Technology,Software - Application
PAYC,"Paycom Software, Inc.",Technology,Software - Application
PYPL,"PayPal Holdings, Inc.",Financial Services,Credit Services
PNR,Pentair plc.,Industrials,Specialty Industrial Machinery
PEP,"Pepsico, Inc.",Consumer Defensive,Beverages - Non-Alcoholic
PFE,"Pfizer, Inc.",Healthcare,Drug Manufacturers - General
PCG,Pacific Gas & Electric Co.,Utilities,Utilities - Regulated Electric
PM,Philip Morris International Inc,Consumer Defensive,Tobacco
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing
PNW,Pinnacle West Capital Corporati,Utilities,Utilities - Regulated Electric
PNC,"PNC Financial Services Group, I",Financial Services,Banks - Regional
POOL,Pool Corporation,Industrials,Industrial Distribution
PPG,"PPG Industries, Inc.",Basic Materials,Specialty Chemicals
PPL,PPL Corporation,Utilities,Utilities - Regulated Electric
PFG,Principal Financial Group Inc,Financial Services,Asset Management
PG,Procter & Gamble Company (The),Consumer Defensive,Household & Personal Products
PGR,Progressive Corporation (The),Financial Services,Insurance - Property & Casualty
PLD,"Prologis, Inc.",Real Estate,REIT - Industrial
PRU,"Prudential Financial, Inc.",Financial Services,Insurance - Life
PEG,Public Service Enterprise Group,Utilities,Utilities - Regulated Electric
PTC,PTC Inc.,Technology,Software - Application
PSA,Public Storage,Real Estate,REIT - Industrial
PHM,"PulteGroup, Inc.",Consumer Cyclical,Residential Construction
PWR,"Quanta Services, Inc.",Industrials,Engineering & Construction
QCOM,QUALCOMM Incorporated,Technology,Semiconductors
DGX,Quest Diagnostics Incorporated,Healthcare,Diagnostics & Research
RL,Ralph Lauren Corporation,Consumer Cyclical,Apparel Manufacturing
RJF,"Raymond James Financial, Inc.",Financial Services,Asset Management
RTX,RTX Corporation,Industrials,Aerospace & Defense
O,Realty Income Corporation,Real Estate,REIT - Retail
REG,Regency Centers Corporation,Real Estate,REIT - Retail
REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare,Biotechnology
RF,Regions Financial Corporation,Financial Services,Banks - Regional
RSG,"Republic Services, Inc.",Industrials,Waste Management
RMD,ResMed Inc.,Healthcare,Medical Instruments & Supplies
RVTY,"Revvity, Inc.",Healthcare,Diagnostics & Research
ROK,"Rockwell Automation, Inc.",Industrials,Specialty Industrial Machinery
ROL,"Rollins, Inc.",Consumer Cyclical,Personal Services
ROP,"Roper Technologies, Inc.",Technology,Software - Application
ROST,"Ross Stores, Inc.",Consumer Cyclical,Apparel Retail
RCL,Royal Caribbean Cruises Ltd.,Consumer Cyclical,Travel Services
SPGI,S&P Global Inc.,Financial Services,Financial Data & Stock Exchanges
CRM,"Salesforce, Inc.",Technology,Software - Application
SBAC,SBA Communications Corporation,Real Estate,REIT - Specialty
SLB,Schlumberger N.V.,Energy,Oil & Gas Equipment & Services
STX,Seagate Technology Holdings PLC,Technology,Computer Hardware
SRE,DBA Sempra,Utilities,Utilities - Diversified
NOW,"ServiceNow, Inc.",Technology,Software - Application
SHW,Sherwin-Williams Company (The),Basic Materials,Specialty Chemicals
SPG,"Simon Property Group, Inc.",Real Estate,REIT - Retail
SWKS,"Skyworks Solutions, Inc.",Technology,Semiconductors
SJM,The J.M. Smucker Company,Consumer Defensive,Packaged Foods
SW,Smurfit WestRock plc,Consumer Cyclical,Packaging & Containers
SNA,Snap-On Incorporated,Industrials,Tools & Accessories
SOLV,Solventum Corporation,Healthcare,Health Information Services
SO,Southern Company (The),Utilities,Utilities - Regulated Electric
LUV,Southwest Airlines Company,Industrials,Airlines
SWK,"Stanley Black & Decker, Inc.",Industrials,Tools & Accessories
SBUX,Starbucks Corporation,Consumer Cyclical,Restaurants
STT,State Street Corporation,Financial Services,Asset Management
STLD,"Steel Dynamics, Inc.",Basic Materials,Steel
STE,STERIS plc (Ireland),Healthcare,Medical Devices
SYK,Stryker Corporation,Healthcare,Medical Devices
SMCI,"Super Micro Computer, Inc.",Technology,Computer Hardware
SYF,Synchrony Financial,Financial Services,Credit Services
SNPS,"Synopsys, Inc.",Technology,Software - Infrastructure
SYY,Sysco Corporation,Consumer Defensive,Food Distribution
TMUS,"T-Mobile US, Inc.",Communication Services,Telecom Services
TROW,"T. Rowe Price Group, Inc.",Financial Services,Asset Management
TTWO,"Take-Two Interactive Software, ",Communication Services,Electronic Gaming & Multimedia
TPR,"Tapestry, Inc.",Consumer Cyclical,Luxury Goods
TRGP,"Targa Resources, Inc.",Energy,Oil & Gas Midstream
TGT,Target Corporation,Consumer Defensive,Discount Stores
TEL,TE Connectivity plc,Technology,Electronic Components
TDY,Teledyne Technologies Incorpora,Technology,Scientific & Technical Instruments
TFX,Teleflex Incorporated,Healthcare,Medical Instruments & Supplies
TER,"Teradyne, Inc.",Technology,Semiconductor Equipment & Materials
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers
TXN,Texas Instruments Incorporated,Technology,Semiconductors
